location,geom,latitude,longitude
"(29.9698126211364, -90.0781768448991)",,29.96981262,-90.07817684
"(29.9509040239483, -90.0972697112415)",,29.95090402,-90.09726971
"(29.9515559997073, -90.0685396102922)",,29.951556,-90.06853961
"(30.0046398827977, -90.0289913038133)",,30.00463988,-90.0289913
"(30.0176692185292, -90.0494442176295)",,30.01766922,-90.04944422
"(29.9353803321812, -90.076317001298)",,29.93538033,-90.076317
"(29.9556648627901, -90.0668526505284)",,29.95566486,-90.06685265
"(29.9961266603852, -90.0561887289681)",,29.99612666,-90.05618873
"(29.9254405599373, -90.005134609303)",,29.92544056,-90.00513461
"(29.9695510013103, -90.1128819998289)",,29.969551,-90.112882
"(29.9797183795109, -90.0937281711314)",,29.97971838,-90.09372817
"(29.9703519327616, -90.0366034616272)",,29.97035193,-90.03660346
"(30.0148729393845, -90.0769934973961)",,30.01487294,-90.0769935
"(29.974106223701, -90.0487966801312)",,29.97410622,-90.04879668
"(29.9703065110568, -90.1199389374764)",,29.97030651,-90.11993894
"(29.9203335101711, -90.1245356981692)",,29.92033351,-90.1245357
"(30.0052210899, -90.0568727282551)",,30.00522109,-90.05687273
"(29.952872263401, -90.1160040327184)",,29.95287226,-90.11600403
"(29.9543574831718, -90.1235862299421)",,29.95435748,-90.12358623
"(29.9168620857275, -89.9561190894884)",,29.91686209,-89.95611909
"(29.9156973180648, -90.012495413808)",,29.91569732,-90.01249541
"(29.9808294261622, -90.0924841313092)",,29.98082943,-90.09248413
"(29.9351702428247, -90.0351600241761)",,29.93517024,-90.03516002
"(30.0140581224628, -90.1070958365305)",,30.01405812,-90.10709584
"(30.0680686332196, -89.9416758930528)",,30.06806863,-89.94167589
"(29.9460873676231, -90.0689891489681)",,29.94608737,-90.06898915
"(29.9277122372951, -90.1335687260334)",,29.92771224,-90.13356873
"(30.0142057901688, -90.1129258765325)",,30.01420579,-90.11292588
"(29.9882419928072, -90.0652928353248)",,29.98824199,-90.06529284
"(30.0173672179675, -90.0024636367969)",,30.01736722,-90.00246364
"(30.0445411654871, -89.9862631945369)",,30.04454117,-89.98626319
"(29.9270988852881, -90.1097326705556)",,29.92709889,-90.10973267
"(30.016575117937, -90.1036356382952)",,30.01657512,-90.10363564
"(30.0156098737332, -90.0993651882757)",,30.01560987,-90.09936519
"(29.9581451933167, -90.1323125606554)",,29.95814519,-90.13231256
"(30.0219879051347, -90.0896355242666)",,30.02198791,-90.08963552
"(29.9253143122589, -90.0213528365416)",,29.92531431,-90.02135284
"(29.9756038373874, -90.0594376900885)",,29.97560384,-90.05943769
"(29.9851329788481, -90.1082904362463)",,29.98513298,-90.10829044
"(29.9437195025181, -90.0354440324487)",,29.9437195,-90.03544403
"(29.9744340229586, -90.03562160326)",,29.97443402,-90.0356216
"(29.9201471000267, -90.1185509337516)",,29.9201471,-90.11855093
"(30.0135064557156, -90.1033335606881)",,30.01350646,-90.10333356
"(29.9512266419012, -90.1327303340914)",,29.95122664,-90.13273033
"(29.9745698149409, -90.1221111554285)",,29.97456981,-90.12211116
"(29.982646945135, -90.0671033334006)",,29.98264695,-90.06710333
"(29.9899238615891, -90.0355239468953)",,29.98992386,-90.03552395
"(29.9065019835587, -90.0081650574001)",,29.90650198,-90.00816506
"(29.9990108973626, -90.1064208554827)",,29.9990109,-90.10642086
"(29.9902871468763, -90.0569982708378)",,29.99028715,-90.05699827
"(29.9753034851115, -90.1043990524263)",,29.97530349,-90.10439905
"(29.9498707857246, -90.0998392826985)",,29.94987079,-90.09983928
"(30.0644687541055, -89.9547627362071)",,30.06446875,-89.95476274
"(30.0388390459442, -89.9552107825623)",,30.03883905,-89.95521078
"(29.9608433681284, -90.0926784329831)",,29.96084337,-90.09267843
"(29.934447386055, -90.1313259300363)",,29.93444739,-90.13132593
"(30.0114379150955, -90.0982651784698)",,30.01143792,-90.09826518
"(30.0039966614637, -90.0399762789787)",,30.00399666,-90.03997628
"(29.9739795169271, -90.0012774280033)",,29.97397952,-90.00127743
